origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
ICN,LHR,37.46910095,126.4509964,51.4706,-0.461941
ICN,LAX,37.46910095,126.4509964,33.94250107,-118.4079971
ICN,JFK,37.46910095,126.4509964,40.63980103,-73.77890015
ICN,CDG,37.46910095,126.4509964,49.012798,2.55
ICN,SYD,37.46910095,126.4509964,-33.94609833,151.177002
ICN,TPE,37.46910095,126.4509964,25.0777,121.233002
FRA,BKK,50.033333,8.570556,13.68109989,100.7470016
FRA,DEL,50.033333,8.570556,28.5665,77.103104
FRA,IAH,50.033333,8.570556,29.9843998,-95.34140015
FRA,LAX,50.033333,8.570556,33.94250107,-118.4079971
FRA,MIA,50.033333,8.570556,25.79319954,-80.29060364
FRA,JFK,50.033333,8.570556,40.63980103,-73.77890015
FRA,SFO,50.033333,8.570556,37.61899948,-122.375
FRA,PVG,50.033333,8.570556,31.14340019,121.8050003
FRA,SIN,50.033333,8.570556,1.35019,103.994003
MUC,PEK,48.353802,11.7861,40.08010101,116.5849991
